
Image Name, ArUco ID, (x y) Object-1, (x y) Object-2 
ArUco1.jpg, 5, (688  236), (361  366), (141  185), (735  571)
Image Name, ArUco ID, (x y) Object-1, (x y) Object-2 
ArUco2.jpg, 1, (484  592), (1049  200)
Image Name, ArUco ID, (x y) Object-1, (x y) Object-2 
ArUco3.jpg, 1, (243  182)(646  241)
Image Name, ArUco ID, (x y) Object-1, (x y) Object-2 
ArUco4.jpg, 9, (1045  190), (1053  527)(234  191)(134  191)
Image Name, ArUco ID, (x y) Object-1, (x y) Object-2 
ArUco5.jpg, 2, (1049  200), (306  591)
